CountryName,Uncertainty bounds*,2010,2011,2012,2013,2014,2015
Liberia,Median,89.3,84.5,80.3,76.3,72.9,69.9
Liberia,Upper,101.2,97.7,95.2,93.5,92.4,91.8
Libya,Lower,14.8,15,12.3,11.3,10.4,9.6
Libya,Median,16.6,17.6,15.1,14.5,13.9,13.4
Libya,Upper,18.6,20.6,18.4,18.4,18.4,18.4
Saint Lucia,Lower,14.5,14,13.4,12.7,11.9,11.2
Saint Lucia,Median,16.1,15.8,15.4,15.1,14.7,14.3
Saint Lucia,Upper,17.8,17.8,17.9,18,18.2,18.3
Sri Lanka,Lower,10.6,10.3,10,9.8,9.4,9
Sri Lanka,Median,10.9,10.6,10.4,10.2,10,9.8
Sri Lanka,Upper,11.3,11,10.7,10.6,10.5,10.6
Lesotho,Lower,88.8,83.7,79.4,77,73.6,70.2
Lesotho,Median,100.7,96.8,94.1,93.6,92,90.2
Lesotho,Upper,114.6,112,111.3,113.3,114.1,115
Lithuania,Lower,6.3,5.7,5.2,4.9,4.7,4.3
Lithuania,Median,6.7,6.1,5.6,5.3,5.2,5.2
Lithuania,Upper,7.1,6.5,6,5.7,5.8,6.3
Luxembourg,Lower,2,1.9,1.7,1.6,1.4,1.3
Luxembourg,Median,2.4,2.3,2.1,2,2,1.9
Luxembourg,Upper,2.9,2.8,2.7,2.7,2.6,2.6
Latvia,Lower,8.9,8.4,7.9,7.2,6.5,5.9
Latvia,Median,9.4,9,8.7,8.4,8.2,7.9
Latvia,Upper,10,9.6,9.6,9.8,10.3,10.8
Morocco,Lower,27.9,26.4,25,23.5,22,20.7
Morocco,Median,33.1,31.9,30.7,29.7,28.6,27.6
Morocco,Upper,38.5,37.8,37.1,36.7,36.5,36.6
Monaco,Lower,3.7,3.5,3.3,3.2,3,2.8
Monaco,Median,4,3.9,3.8,3.7,3.6,3.5
Monaco,Upper,4.3,4.3,4.3,4.4,4.4,4.4
Moldova,Lower,15,14.5,13.8,13.1,12.2,11.2
Moldova,Median,17.2,16.9,16.7,16.4,16.1,15.8
Moldova,Upper,20.5,20.5,20.7,21.2,22.2,23.4
Madagascar,Lower,46.7,43.2,40,37.1,34.4,32
Madagascar,Median,60.3,57.8,55.5,53.4,51.5,49.6
Madagascar,Upper,76.6,75.8,75.4,75.4,74.9,74.9
Maldives,Lower,12.1,10.8,9.6,8.6,7.8,7.1
Maldives,Median,13,11.8,10.7,9.9,9.2,8.6
Maldives,Upper,13.9,12.8,12,11.3,10.8,10.6
Mexico,Lower,16.4,15.7,14.8,13.8,12.7,11.7
Mexico,Median,16.8,16,15.3,14.5,13.8,13.2
Mexico,Upper,17.1,16.4,15.7,15.2,14.9,14.8
Marshall Islands,Lower,32.1,31.2,30.1,28.9,27.4,26
Marshall Islands,Median,39.1,38.8,38.3,37.8,37,36
Marshall Islands,Upper,47.3,48,48.6,49.1,49.6,50
Macedonia,Lower,9.3,7.7,6,4.7,3.8,3.1
Macedonia,Median,9.9,8.6,7.4,6.6,6,5.5
Macedonia,Upper,10.5,9.5,8.8,8.4,8.3,8.2
Mali,Lower,105.3,97.5,90.9,84.9,78.6,73
Mali,Median,136.6,131.7,127,122.7,118.3,114.7
Mali,Upper,174.3,173.8,174.2,174.5,175.3,175.9
Malta,Lower,6,5.9,5.7,5.5,5.3,5
Malta,Median,6.7,6.7,6.7,6.6,6.5,6.4
Malta,Upper,7.5,7.6,7.7,7.9,8,8.1
Myanmar,Lower,49.5,47,44.6,42.5,40.1,37.9
Myanmar,Median,59.3,57.2,55.3,53.5,51.7,50
Myanmar,Upper,70.4,68.8,67.4,66.5,65.9,65.4
Montenegro,Lower,6.2,5.5,5,4.5,4.1,3.7
Montenegro,Median,6.8,6.2,5.7,5.3,5,4.7
Montenegro,Upper,7.5,7,6.6,6.3,6.1,5.9
Mongolia,Lower,24.8,22.6,20.7,19,17.6,16.3
Mongolia,Median,30,28,26.2,24.7,23.5,22.4
Mongolia,Upper,35.9,34.1,32.7,31.4,30.5,30
Mozambique,Lower,91.4,85.4,77.9,71.4,65.8,61.5
Mozambique,Median,102.8,97.5,90.9,85.6,81.2,78.5
Mozambique,Upper,115.8,112.1,106.7,103.1,101.2,100.8
Mauritania,Lower,67.9,63.7,59.6,55.7,52.2,49
Mauritania,Median,97.8,95.4,92.7,90.2,87.5,84.7
Mauritania,Upper,142,143.4,143.5,143.6,143.7,144.2
Mauritius,Lower,14.3,14,13.7,13,11.7,10.2
Mauritius,Median,15.2,14.9,14.6,14.3,13.9,13.5
Mauritius,Upper,16.1,15.9,15.6,15.7,16.5,17.8
Malawi,Lower,79.4,72.6,64.8,57.8,51.6,47.1
Malawi,Median,90.9,84.5,77.3,71.3,66.9,64
Malawi,Upper,104.4,100.4,95.7,92.4,90.6,90.8
Malaysia,Lower,7.8,7.7,7.4,7.1,6.7,6.3
Malaysia,Median,8,7.9,7.7,7.5,7.2,7
Malaysia,Upper,8.1,8.1,7.9,7.9,7.8,7.9
Namibia,Lower,45.1,42.3,39.8,37,34.8,33
Namibia,Median,53.8,51.6,49.9,47.7,46.4,45.4
Namibia,Upper,64.8,64.2,63.8,62.6,62.8,63
Niger,Lower,107.3,97.8,89.9,82.5,76.2,70.5
Niger,Median,123.6,116.1,109.6,104.1,99.6,95.5
Niger,Upper,142.4,137.2,133.6,131.1,129.5,128.3
Nigeria,Lower,115.8,109,102.5,95.7,89.2,83.4
Nigeria,Median,130.3,125.5,120.9,116.6,112.5,108.8
Nigeria,Upper,146.4,143.6,141.9,140.6,140,139.7
Nicaragua,Lower,19.4,18,16.8,15.6,14.6,13.6
Nicaragua,Median,26.1,25.2,24.4,23.5,22.8,22.1
Nicaragua,Upper,36.1,36,36.3,36.4,36.2,36.1
Niue,Lower,13.5,12.9,12.2,11.5,10.9,10.3
Niue,Median,26.2,25.6,24.9,24.3,23.6,23
Niue,Upper,52,52,51.6,51.2,50.8,50.4
Netherlands,Lower,4.3,4.2,4,3.8,3.6,3.4
Netherlands,Median,4.4,4.3,4.2,4,3.9,3.8
Netherlands,Upper,4.6,4.4,4.3,4.3,4.2,4.2
Norway,Lower,3.1,2.9,2.8,2.6,2.4,2.2
Norway,Median,3.2,3.1,3,2.8,2.7,2.6
Norway,Upper,3.4,3.3,3.1,3.1,3.1,3.1
Nepal,Lower,39.4,36.8,34.4,32.2,30.1,28.1
Nepal,Median,45.4,43.1,40.9,39,37.4,35.8
Nepal,Upper,52.3,50.5,48.8,47.4,46.4,45.5
Nauru,Lower,27.8,26.7,25.5,24.1,22.8,21.5
Nauru,Median,39.4,38.8,38.1,37.2,36.3,35.4
Nauru,Upper,53,53.8,54.2,54.6,55.1,55.6
New Zealand,Lower,6,5.8,5.6,5.4,5.1,4.8
New Zealand,Median,6.2,6.1,6,5.9,5.8,5.7
New Zealand,Upper,6.5,6.5,6.5,6.6,6.6,6.7
Oman,Lower,11.3,11.3,11.3,11.2,10.9,10.6
Oman,Median,11.7,11.6,11.6,11.7,11.6,11.6
Oman,Upper,12,11.9,12,12.2,12.4,12.6
Pakistan,Lower,82.6,79.8,76.4,72.7,68.8,64.7
Pakistan,Median,91.8,89.9,87.8,85.6,83.3,81.1
Pakistan,Upper,103.1,102.6,102,101.7,101.8,102.2
Panama,Lower,14.3,13.5,12.6,11.9,11.1,10.5
Panama,Median,19.8,19.2,18.7,18.1,17.6,17
Panama,Upper,27.4,27.3,27.3,27.5,27.5,27.5
Peru,Lower,19,17.8,16.7,15.6,14.6,13.6
Peru,Median,21,20,19.1,18.3,17.5,16.9
Peru,Upper,23.4,22.7,22.2,21.7,21.5,21.3
Philippines,Lower,27.8,26.5,25.3,23.9,22.5,21.2
Philippines,Median,31.9,31.2,30.4,29.6,28.8,28
Philippines,Upper,36.5,36.5,36.5,36.4,36.6,36.7
Palau,Lower,12.5,11.7,11,10.3,9.7,9.1
Palau,Median,19.4,18.8,18.2,17.5,17,16.4
Palau,Upper,30.1,30.2,30.2,30,30.3,30.1
Papua New Guinea,Lower,47.5,44.8,42.2,39.6,37.2,35
Papua New Guinea,Median,66.1,64.3,62.5,60.9,59.1,57.3
Papua New Guinea,Upper,94.6,94.8,95.3,95.7,95.9,95.7
Poland,Lower,5.7,5.4,5.2,5,4.9,4.6
Poland,Median,5.8,5.5,5.3,5.2,5.2,5.2
Poland,Upper,6,5.7,5.4,5.4,5.6,5.9
Korea DPR,Lower,24.5,23.6,22.5,21.4,20.4,19.5
Korea DPR,Median,31.3,30.1,28.7,27.4,26.1,24.9
Korea DPR,Upper,40.1,38.5,36.8,35.1,33.4,31.9
Portugal,Lower,3.7,3.7,3.6,3.4,3.2,3
Portugal,Median,3.9,3.8,3.8,3.8,3.7,3.6
Portugal,Upper,4,4,4,4.2,4.3,4.4
